,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 - 2019
Std of Tempo,25.2566713719941,25.6264260209186,29.1266256459831,29.2479993170403,25.1525986705511
Var of Tempo,637.899448792906,656.713710605615,848.360321521242,855.445464049591,632.653219881809
,,,,,
Mean Time signature,3.95360824742268,3.9746192893401,3.96482412060301,3.98492462311557,3.985
Max Time signature,4,4,5,5,4
Min Time signature,3,3,3,3,3
Count of Time signature,194,197,199,199,200
Median Time signature,4,4,4,4,4
Std of Time signature,0.210876215769402,0.157679221754046,0.210264009660932,0.187416969755292,0.121857483279262
Var of Time signature,0.0444687783772234,0.0248627369729618,0.0442109537586926,0.0351251205522561,0.0148492462311557
