"1970 - 1979","1980 - 1989","1990 - 1999","2000 - 2009","2010 - 2019"
"Mean Instrumentalness","0.028431660051546","0.015531978781726","0.011690317035176","0.0054782698492462","0.00468196945"
"Max Instrumentalness","0.88","0.458","0.471","0.751","0.334"
"Min Instrumentalness","0","0","0","0","0"
"Count of Instrumentalness","194","197","199","199","200"
"Median Instrumentalness","5.43E-5","2.68E-5","3.25E-6","0","0"
"Std of Instrumentalness","0.12138204278995","0.062257681739196","0.060702810030352","0.054388224911129","0.029408716642154"
"Var of Instrumentalness","0.014733600311861","0.0038760189355391","0.0036848311455811","0.0029580790089836","0.00086487261453851"
"","","","","",""
"Mean Acousticness","0.36542458762887","0.23840281725888","0.23083771909548","0.13988417839196","0.15278404"
"Max Acousticness","0.932","0.94","0.977","0.863","0.945"
"Min Acousticness","0.00166","0.000185","4.91E-5","5.15E-5","0.000146"
"Count of Acousticness","194","197","199","199","200"
"Median Acousticness","0.299","0.161","0.107","0.0671","0.07505"
"Std of Acousticness","0.27470400049728","0.22384913215635","0.26188012571618","0.16215155036159","0.19936707840624"
"Var of Acousticness","0.075462287889207","0.05010843396715","0.068581200245124","0.026293125284666","0.03974723195224"
"","","","","",""
"Mean Liveness","0.17491701030928","0.16716700507614","0.1689783919598","0.17264924623115","0.1738535"
"Max Liveness","0.918","0.845","0.946","0.972","0.704"
"Min Liveness","0.0188","0.0212","0.0189","0.0243","0.0215"
"Count of Liveness","194","197","199","199","200"
"Median Liveness","0.1195","0.117","0.112","0.131","0.123"
"Std of Liveness","0.15529243371207","0.13784599058393","0.16269732102314","0.13753193123059","0.13282727700034"
"Var of Liveness","0.024115739968217","0.019001517120066","0.026470418268108","0.018915032108015","0.017643085515327"
"","","","","",""
"Mean Loudness","-10.657896907216","-9.8068020304569","-8.7498592964824","-5.6535376884422","-5.60869"
"Max Loudness","-3.594","-3.777","-3.404","-1.609","-2.451"
"Min Loudness","-23.035","-18.453","-17.13","-10.96","-10.965"
"Count of Loudness","194","197","199","199","200"
"Median Loudness","-10.4295","-9.385","-8.406","-5.582","-5.4335"
"Std of Loudness","3.2136912064889","3.1164416728705","2.8072636485061","1.8173384655369","1.6915194958748"
"Var of Loudness","10.327811170664","9.712208700404","7.8807291922237","3.3027190983199","2.8612382049246"
"","","","","",""
"Mean Speechiness","0.050497422680412","0.04297614213198","0.058301507537688","0.1100391959799","0.09353"
"Max Speechiness","0.34","0.166","0.361","0.576","0.449"
"Min Speechiness","0.0237","0.0226","0.0233","0.0241","0.0232"
"Count of Speechiness","194","197","199","199","200"
"Median Speechiness","0.03745","0.0369","0.0378","0.0664","0.06205"
"Std of Speechiness","0.044488444602701","0.019765848442016","0.053647671659481","0.10405233663376","0.083907614307007"
"Var of Speechiness","0.0019792217031676","0.00039068876463276","0.0028780726744835","0.010826888758946","0.0070404877386935"
"","","","","",""
"Mean Tempo","117.69112371134","119.45708121827","116.51161306533","118.64196984925","118.46126"
"Max Tempo","208.282","208.571","205.467","210.857","201.843"
"Min Tempo","65.311","61.084","60.117","65.997","72.795"
"Count of Tempo","194","197","199","199","200"
"Median Tempo","114.246","117.387","110.018","115.996","119.947"
"Std of Tempo","25.256671371994","25.626426020919","29.126625645983","29.24799931704","25.152598670551"
"Var of Tempo","637.89944879291","656.71371060562","848.36032152124","855.44546404959","632.65321988181"
"","","","","",""
"Mean Time signature","3.9536082474227","3.9746192893401","3.964824120603","3.9849246231156","3.985"
"Max Time signature","4","4","5","5","4"
"Min Time signature","3","3","3","3","3"
"Count of Time signature","194","197","199","199","200"
"Median Time signature","4","4","4","4","4"
"Std of Time signature","0.2108762157694","0.15767922175405","0.21026400966093","0.18741696975529","0.12185748327926"
"Var of Time signature","0.044468778377223","0.024862736972962","0.044210953758693","0.035125120552256","0.014849246231156"
